timestamp,timestamp,light_power
2017-02-13 17:00:00,2017-02-13 17:00:00,24.6891796772
2017-02-13 18:00:00,2017-02-13 18:00:00,27.329091534
2017-02-13 19:00:00,2017-02-13 19:00:00,0.0
2017-02-13 20:00:00,2017-02-13 20:00:00,0.0
2017-02-13 21:00:00,2017-02-13 21:00:00,0.0
2017-02-13 22:00:00,2017-02-13 22:00:00,0.0
2017-02-13 23:00:00,2017-02-13 23:00:00,0.0
2017-02-14 00:00:00,2017-02-14 00:00:00,0.0
2017-02-14 01:00:00,2017-02-14 01:00:00,0.0
2017-02-14 02:00:00,2017-02-14 02:00:00,0.0
2017-02-14 03:00:00,2017-02-14 03:00:00,0.0
2017-02-14 04:00:00,2017-02-14 04:00:00,0.0
2017-02-14 05:00:00,2017-02-14 05:00:00,0.0
2017-02-14 06:00:00,2017-02-14 06:00:00,0.0
2017-02-14 07:00:00,2017-02-14 07:00:00,0.0
2017-02-14 08:00:00,2017-02-14 08:00:00,0.0
2017-02-14 09:00:00,2017-02-14 09:00:00,0.0
2017-02-14 10:00:00,2017-02-14 10:00:00,41.5578150097
2017-02-14 11:00:00,2017-02-14 11:00:00,21.5808558232
2017-02-14 12:00:00,2017-02-14 12:00:00,34.8177192691
2017-02-14 13:00:00,2017-02-14 13:00:00,43.2470130417
2017-02-14 14:00:00,2017-02-14 14:00:00,47.1089710882
2017-02-14 15:00:00,2017-02-14 15:00:00,44.6224772927
2017-02-14 16:00:00,2017-02-14 16:00:00,37.1292474874
2017-02-14 17:00:00,2017-02-14 17:00:00,25.4067453702
2017-02-14 18:00:00,2017-02-14 18:00:00,28.3710785304
2017-02-14 19:00:00,2017-02-14 19:00:00,0.0
2017-02-14 20:00:00,2017-02-14 20:00:00,0.0
2017-02-14 21:00:00,2017-02-14 21:00:00,0.0
2017-02-14 22:00:00,2017-02-14 22:00:00,0.0
2017-02-14 23:00:00,2017-02-14 23:00:00,0.0
2017-02-15 00:00:00,2017-02-15 00:00:00,0.0
2017-02-15 01:00:00,2017-02-15 01:00:00,0.0
2017-02-15 02:00:00,2017-02-15 02:00:00,0.0
2017-02-15 03:00:00,2017-02-15 03:00:00,0.0
2017-02-15 04:00:00,2017-02-15 04:00:00,0.0
2017-02-15 05:00:00,2017-02-15 05:00:00,0.0
2017-02-15 06:00:00,2017-02-15 06:00:00,0.0
2017-02-15 07:00:00,2017-02-15 07:00:00,0.0
2017-02-15 08:00:00,2017-02-15 08:00:00,0.0
2017-02-15 09:00:00,2017-02-15 09:00:00,0.0
2017-02-15 10:00:00,2017-02-15 10:00:00,34.6621367362
2017-02-15 11:00:00,2017-02-15 11:00:00,22.4079343676
2017-02-15 12:00:00,2017-02-15 12:00:00,35.3392904534
2017-02-15 13:00:00,2017-02-15 13:00:00,43.6068559128
2017-02-15 14:00:00,2017-02-15 14:00:00,47.3824844813
2017-02-15 15:00:00,2017-02-15 15:00:00,44.9463218767
2017-02-15 16:00:00,2017-02-15 16:00:00,37.5940060392
2017-02-15 17:00:00,2017-02-15 17:00:00,26.1133583888
2017-02-15 18:00:00,2017-02-15 18:00:00,25.1791703335
2017-02-15 19:00:00,2017-02-15 19:00:00,0.0
2017-02-15 20:00:00,2017-02-15 20:00:00,0.0
2017-02-15 21:00:00,2017-02-15 21:00:00,0.0
2017-02-15 22:00:00,2017-02-15 22:00:00,0.0
2017-02-15 23:00:00,2017-02-15 23:00:00,0.0
2017-02-16 00:00:00,2017-02-16 00:00:00,0.0
2017-02-16 01:00:00,2017-02-16 01:00:00,0.0
2017-02-16 02:00:00,2017-02-16 02:00:00,0.0
2017-02-16 03:00:00,2017-02-16 03:00:00,0.0
2017-02-16 04:00:00,2017-02-16 04:00:00,0.0
2017-02-16 05:00:00,2017-02-16 05:00:00,0.0
2017-02-16 06:00:00,2017-02-16 06:00:00,0.0
2017-02-16 07:00:00,2017-02-16 07:00:00,0.0
2017-02-16 08:00:00,2017-02-16 08:00:00,0.0
2017-02-16 09:00:00,2017-02-16 09:00:00,0.0
2017-02-16 10:00:00,2017-02-16 10:00:00,35.8060935205
2017-02-16 11:00:00,2017-02-16 11:00:00,23.2260652468
2017-02-16 12:00:00,2017-02-16 12:00:00,35.8586045593
2017-02-16 13:00:00,2017-02-16 13:00:00,43.9660119633
2017-02-16 14:00:00,2017-02-16 14:00:00,47.6559242618
2017-02-16 15:00:00,2017-02-16 15:00:00,45.2680207341
2017-02-16 16:00:00,2017-02-16 16:00:00,38.05391563
2017-02-16 17:00:00,2017-02-16 17:00:00,26.8093246789
2017-02-16 18:00:00,2017-02-16 18:00:00,26.2165331578
2017-02-16 19:00:00,2017-02-16 19:00:00,0.0
2017-02-16 20:00:00,2017-02-16 20:00:00,0.0
2017-02-16 21:00:00,2017-02-16 21:00:00,0.0
2017-02-16 22:00:00,2017-02-16 22:00:00,0.0
2017-02-16 23:00:00,2017-02-16 23:00:00,0.0
2017-02-17 00:00:00,2017-02-17 00:00:00,0.0
2017-02-17 01:00:00,2017-02-17 01:00:00,0.0
2017-02-17 02:00:00,2017-02-17 02:00:00,0.0
2017-02-17 03:00:00,2017-02-17 03:00:00,0.0
2017-02-17 04:00:00,2017-02-17 04:00:00,0.0
2017-02-17 05:00:00,2017-02-17 05:00:00,0.0
2017-02-17 06:00:00,2017-02-17 06:00:00,0.0
2017-02-17 07:00:00,2017-02-17 07:00:00,0.0
2017-02-17 08:00:00,2017-02-17 08:00:00,0.0
2017-02-17 09:00:00,2017-02-17 09:00:00,0.0
2017-02-17 10:00:00,2017-02-17 10:00:00,30.9186867326
2017-02-17 11:00:00,2017-02-17 11:00:00,24.0351649132
2017-02-17 12:00:00,2017-02-17 12:00:00,36.375438086
2017-02-17 13:00:00,2017-02-17 13:00:00,44.3243191273
2017-02-17 14:00:00,2017-02-17 14:00:00,47.9292048955
2017-02-17 15:00:00,2017-02-17 15:00:00,45.587588663
2017-02-17 16:00:00,2017-02-17 16:00:00,38.5090285582
2017-02-17 17:00:00,2017-02-17 17:00:00,27.4949386736
2017-02-17 18:00:00,2017-02-17 18:00:00,27.2306301071
2017-02-17 19:00:00,2017-02-17 19:00:00,0.0
2017-02-17 20:00:00,2017-02-17 20:00:00,0.0
2017-02-17 21:00:00,2017-02-17 21:00:00,0.0
2017-02-17 22:00:00,2017-02-17 22:00:00,0.0
2017-02-17 23:00:00,2017-02-17 23:00:00,0.0
2017-02-18 00:00:00,2017-02-18 00:00:00,0.0
2017-02-18 01:00:00,2017-02-18 01:00:00,0.0
2017-02-18 02:00:00,2017-02-18 02:00:00,0.0
2017-02-18 03:00:00,2017-02-18 03:00:00,0.0
2017-02-18 04:00:00,2017-02-18 04:00:00,0.0
2017-02-18 05:00:00,2017-02-18 05:00:00,0.0
2017-02-18 06:00:00,2017-02-18 06:00:00,0.0
2017-02-18 07:00:00,2017-02-18 07:00:00,0.0
2017-02-18 08:00:00,2017-02-18 08:00:00,0.0
2017-02-18 09:00:00,2017-02-18 09:00:00,0.0
2017-02-18 10:00:00,2017-02-18 10:00:00,32.0676734309
2017-02-18 11:00:00,2017-02-18 11:00:00,24.8351710628
2017-02-18 12:00:00,2017-02-18 12:00:00,36.889585246
2017-02-18 13:00:00,2017-02-18 13:00:00,44.6816267235
2017-02-18 14:00:00,2017-02-18 14:00:00,48.2022454015
2017-02-18 15:00:00,2017-02-18 15:00:00,45.905041457
2017-02-18 16:00:00,2017-02-18 16:00:00,38.9594003429
2017-02-18 17:00:00,2017-02-18 17:00:00,28.1704844908
2017-02-18 18:00:00,2017-02-18 18:00:00,24.5277424307
2017-02-18 19:00:00,2017-02-18 19:00:00,0.0
2017-02-18 20:00:00,2017-02-18 20:00:00,0.0
2017-02-18 21:00:00,2017-02-18 21:00:00,0.0
2017-02-18 22:00:00,2017-02-18 22:00:00,0.0
